1_1,p87
1_2,UGSF400
1_3,UGSF401
1_4,UGSF402
1_5,UGSF404
1_6,UGSF405
1_7,p92
1_8,UGSF407
1_9,UGSF408
1_10,UGSF409
1_11,UGSF410
1_12,b153
1_13,UGSF412
1_14,p58
1_15,UGSF413
1_16,UGSF414
1_17,c1246
1_18,UGSF415
1_19,UGSF416
1_20,UGSF417
1_21,UGSF418
1_22,UGSF419
1_23,UGSF420
1_24,UGSF421
1_25,UGSF422
1_26,UGSF423
1_27,UGSF427
1_28,UGSF428
1_29,UGSF430
1_30,UGSF431
1_31,MPGA8
1_32,UGSF434
1_33,UGSF436
1_34,UGSF439
1_35,b112
1_36,UGSF460
1_37,UGSF464
1_38,UGSF465
1_39,UGSF467
1_40,UGSF468
1_41,UGSF469
1_42,UGSF470
1_43,UGSF472
1_44,UGSF473
1_45,p88
1_46,UGSF475
1_47,UGSF476
1_48,UGSF477
1_49,UGSF478
1_50,UGSF479
1_51,p16
1_52,UGSF481
1_53,p33
1_54,UGSF490
1_55,b110
1_56,UGSF489
1_57,UGSF488
1_58,UGSF487
1_59,UGSF486
1_60,UGSF485
1_61,UGSF484
1_62,p50
1_63,UGSF492
1_64,UGSF493
1_65,UGSF494
1_66,MPGA4
1_67,b126
1_68,UGSF496
1_69,UGSF497
1_70,UGSF498
1_71,UGSF499
1_72,p3
1_73,p21
1_74,UGSF500
1_75,UGSF501
1_76,UGSF502
1_77,b165
1_78,UGSF503
2_1,UGSF160
2_2,UGSF158
2_3,UGSF161
2_4,UGSF162
2_5,UGSF163
2_6,UGSF165
2_7,UGSF166
2_8,UGSF167
2_9,MPGA39
2_10,UGSF168
2_11,MPGD11
2_12,UGSF173
2_13,UGSF175
2_14,UGSF178
2_15,UGSF182
2_16,UGSF183
2_17,UGSF184
2_18,UGSF118
2_19,UGSF189
2_20,UGSF191
2_21,UGSF192
2_22,UGSF193
2_23,MPGA9
2_24,UGSF200
2_25,UGSF212
2_26,b242
2_27,MPGD2
2_28,UGSF216
2_29,UGSF219
2_30,c397
2_31,UGSF221
2_32,UGSF223
2_33,UGSF225
2_34,UGSF226
2_35,UGSF229
2_36,UGSF230
2_37,b115
2_38,UGSF231
2_39,UGSF232
2_40,UGSF233
2_41,UGSF234
2_42,UGSF237
2_43,UGSF238
2_44,UGSF239
2_45,UGSF242
2_46,UGSF243
2_47,UGSF244
2_48,UGSF245
2_49,UGSF246
2_50,UGSF248
2_51,UGSF249
2_52,b233
2_53,UGSF252
2_54,UGSF253
2_55,UGSF254
2_56,UGSF255
2_57,UGSF256
2_58,p56
2_59,UGSF257
2_60,UGSF258
2_61,UGSF259
2_62,UGSF260
2_63,UGSF262
2_64,UGSF263
2_65,UGSF264
2_66,UGSF265
2_67,UGSF266
2_68,UGSF267
2_69,UGSF268
2_70,UGSF269
2_71,p80
2_72,UGSF271
2_73,UGSF272
2_74,UGSF273
2_75,UGSF274
2_76,UGSF275
2_77,UGSF276
2_78,UGSF277
2_79,UGSF278
2_80,r1789
2_81,UGSF280
2_82,b151
2_83,UGSF281
2_84,UGSF282
2_85,UGSF283
2_86,UGSF284
2_87,UGSF285
2_88,UGSF287
3_1,UGSF675
3_2,UGSF674
3_3,UGSF673
3_4,UGSF672
3_5,MPGD5
3_6,UGSF671
3_7,UGSF670
3_8,UGSF669
3_9,UGSF821
3_10,UGSF822
3_11,UGSF824
3_12,UGSF825
3_13,c597
3_14,UGSF826
3_15,UGSF827
3_16,UGSF828
3_17,UGSF785
3_18,MPGA49
3_19,UGSF782
3_20,UGSF781
3_21,UGSF885
3_22,UGSF883
3_23,MPGD44
3_24,UGSF881
3_25,UGSF879
3_26,UGSF877
3_27,UGSF876
3_28,UGSF874
3_29,UGSF873
3_30,b226
3_31,UGSF872
3_32,UGSF871
3_33,UGSF870
3_34,UGSF867
3_35,UGSF866
3_36,UGSF864
3_37,UGSF861
3_38,UGSF859
3_39,p98
3_40,b186
3_41,p85
3_42,UGSF857
3_43,p61
3_44,p9
3_45,UGSF855
3_46,UGSF853
3_47,UGSF852
3_48,UGSF851
3_49,UGSF850
3_50,UGSF849
3_51,UGSF848
3_52,UGSF847
3_53,UGSF846
3_54,UGSF844
3_55,UGSF842
3_56,UGSF840
3_57,UGSF837
3_58,UGSF788
3_59,MPGD14
3_60,UGSF791
3_61,UGSF794
3_62,MPGD31
3_63,UGSF799
3_64,UGSF800
3_65,UGSF802
3_66,UGSF804
3_67,UGSF806
3_68,UGSF807
3_69,UGSF808
3_70,UGSF809
3_71,UGSF810
3_72,UGSF811
3_73,UGSF812
3_74,b163
3_75,UGSF813
3_76,UGSF814
3_77,UGSF815
3_78,bif2_like
3_79,UGSF816
3_80,UGSF817
3_81,UGSF819
3_82,c901
4_1,UGSF886
4_2,UGSF887
4_3,UGSF888
4_4,UGSF889
4_5,UGSF890
4_6,p2chrm4
4_7,b109
4_8,UGSF891
4_9,UGSF892
4_10,MPGA30
4_11,UGSF893
4_12,UGSF895
4_13,c562
4_14,UGSF896
4_15,UGSF897
4_16,d3_HaeIII
4_17,UGSF898
4_18,UGSF899
4_19,UGSF902
4_20,UGSF904
4_21,UGSF906
4_22,UGSF909
4_23,p34_5
4_24,UGSF912
4_25,UGSF914
4_26,UGSF915
4_27,c235
4_28,UGSF919
4_29,UGSF921
4_30,UGSF938
4_31,UGSF960
4_32,UGSF961
4_33,UGSF963
4_34,UGSF964
4_35,UGSF967
4_36,UGSF969
4_37,UGSF970
4_38,P100
4_39,UGSF971
4_40,UGSF973
4_41,UGSF974
4_42,mculm1
4_43,UGSF983
4_44,UGSF981
4_45,p42
4_46,UGSF980
4_47,UGSF979
4_48,UGSF978
4_49,UGSF977
4_50,UGSF976
4_51,UGSF975
4_52,UGSF986
4_53,UGSF984
4_54,b236
4_55,UGSF987
4_56,UGSF988
4_57,b247
4_58,UGSF989
4_59,UGSF991
5_1,UGSF310
5_2,UGSF309
5_3,UGSF308
5_4,MPGD41_1
5_5,UGSF306
5_6,UGSF305
5_7,MPGA29
5_8,UGSF304
5_9,UGSF303
5_10,UGSF301
5_11,UGSF300
5_12,UGSF299
5_13,MPGD4
5_14,b188
5_15,UGSF288
5_16,UGSF289
5_17,UGSF290
5_18,UGSF311
5_19,UGSF325
5_20,UGSF328
5_21,UGSF329
5_22,UGSF330
5_23,UGSF331
5_24,UGSF333
5_25,UGSF334
5_26,UGSF335
5_27,UGSF336
5_28,UGSF339
5_29,UGSF340
